DATE,INDEX
7/1/1983,60.46
10/1/1983,55.99
1/1/1984,60.89
4/1/1984,63.81
7/1/1984,64.49
10/1/1984,62.5
1/1/1985,63.97
4/1/1985,64.77
7/1/1985,65.44
10/1/1985,66.49
1/1/1986,67.32
4/1/1986,67.97
7/1/1986,68.75
10/1/1986,68.72
1/1/1987,69.72
4/1/1987,72.07
7/1/1987,74.26
10/1/1987,73.3
1/1/1988,76.7
4/1/1988,77.99
7/1/1988,80.1
10/1/1988,81.68
1/1/1989,82.8
4/1/1989,85.63
7/1/1989,87.13
10/1/1989,88.97
1/1/1990,88.28
4/1/1990,91.86
7/1/1990,91.41
10/1/1990,90.2
1/1/1991,91.61
4/1/1991,93.42
7/1/1991,92.37
10/1/1991,95.45
1/1/1992,94.03
4/1/1992,95.86
7/1/1992,97.24
10/1/1992,97.4
1/1/1993,97.4
4/1/1993,97.38
7/1/1993,99.48
10/1/1993,98.66
1/1/1994,98.79
4/1/1994,98.34
7/1/1994,98.24
10/1/1994,99.2
1/1/1995,100
4/1/1995,99.8
7/1/1995,100.37
10/1/1995,102.77
1/1/1996,101.97
4/1/1996,103.27
7/1/1996,102.37
10/1/1996,103.91
1/1/1997,104.44
4/1/1997,104.55
7/1/1997,107.04
10/1/1997,108.3
1/1/1998,107.37
4/1/1998,108.96
7/1/1998,109.83
10/1/1998,111.44
1/1/1999,110.86
4/1/1999,113.52
7/1/1999,115.29
10/1/1999,118.32
1/1/2000,118.88
4/1/2000,123.43
7/1/2000,124.84
10/1/2000,127.67
1/1/2001,129.62
4/1/2001,133.35
7/1/2001,136.52
10/1/2001,136.79
1/1/2002,139.94
4/1/2002,144.4
7/1/2002,147.99
10/1/2002,148.5
1/1/2003,151.1
4/1/2003,155.92
7/1/2003,158.87
10/1/2003,164.74
1/1/2004,167.41
4/1/2004,173.21
7/1/2004,183.97
10/1/2004,186.9
1/1/2005,194.67
4/1/2005,206.93
7/1/2005,214.94
10/1/2005,222.63
1/1/2006,227.18
4/1/2006,233.46
7/1/2006,237.14
10/1/2006,238.3
1/1/2007,241.89
4/1/2007,242.27
7/1/2007,241.38
10/1/2007,245.75
1/1/2008,242.6
4/1/2008,237.39
7/1/2008,232.76
10/1/2008,233.88
1/1/2009,232.44
4/1/2009,226.41
7/1/2009,223.08
10/1/2009,216.91
1/1/2010,217.64
4/1/2010,213.9
7/1/2010,218.39
10/1/2010,215.27
1/1/2011,211.91
4/1/2011,206.09
7/1/2011,206.85
10/1/2011,211.41
1/1/2012,208.52
4/1/2012,204.99
7/1/2012,205.13
10/1/2012,206.65
1/1/2013,205.73
4/1/2013,208.91
7/1/2013,206.96
10/1/2013,207.36
1/1/2014,208.44
4/1/2014,208.43
7/1/2014,214.94
10/1/2014,212.9
1/1/2015,215.13
4/1/2015,219.22
7/1/2015,220.57
10/1/2015,220.51
1/1/2016,219.16
4/1/2016,227.27
7/1/2016,223.88
10/1/2016,226.66
1/1/2017,227.66
4/1/2017,235.35
7/1/2017,234.73
10/1/2017,240.06
1/1/2018,245.16
4/1/2018,249.5
7/1/2018,247.3
10/1/2018,245.26
1/1/2019,247.12
4/1/2019,255.72
7/1/2019,256.65
10/1/2019,261.7
1/1/2020,261.54
4/1/2020,265.68
7/1/2020,266.62
10/1/2020,270.1
1/1/2021,273.91
4/1/2021,287.68
